date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Dec%202021%2019:02:48%20GMT	https://transparency-initiative.org/robots.txt		(from )
13:02:50	33911/33911	---MC-	200	added ('OK')	text/html	date:Wed,%2001%20Dec%202021%2019:02:49%20GMT	https://transparency-initiative.org/tax/	index-2.html	(from )
13:02:52	30292/30292	---M-Z	200	added ('OK')	text/html	etag:%227654-52365334e6cc0;98-4e927a8cf5900-gzip%22	http://www.w3.org/1999/xhtml/vocab	vocab.html	(from https://transparency-initiative.org/tax/)
13:02:52	3004/3004	---M--	200	added ('OK')	image/x-icon	date:Wed,%2021%20Feb%202018%2008:39:12%20GMT	https://www.transparency-initiative.org/tax/sites/all/themes/tai/favicon.ico	ico/favicon.ico	(from https://transparency-initiative.org/tax/)
13:02:53	3040/3040	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Jun%202018%2004:32:13%20GMT	https://www.transparency-initiative.org/tax/sites/default/files/css/css_GOt3Hgub4zymGEi-rvlycxaerB08o9JoOcL4jNTzaeY.css	css/css_got3hgub4zymgei-rvlycxaerb08o9joocl4jntzaey.css	(from https://transparency-initiative.org/tax/)
13:02:54	16257/16257	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Jun%202018%2011:27:08%20GMT	https://www.transparency-initiative.org/tax/sites/default/files/css/css_ioh1WZ6BQNbWeKdoFwL00eEXPGmxwXsSRdDV6Jz-Ucs.css	css/css_ioh1wz6bqnbwekdofwl00eexpgmxwxssrddv6jz-ucs.css	(from https://transparency-initiative.org/tax/)
13:02:55	1358/1358	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Jun%202018%2008:55:16%20GMT	https://www.transparency-initiative.org/tax/sites/default/files/css/css_YmuMqUm--85MDg6GF8xFt60xnxOSYeKArfr5yk0-sVc.css	css/css_ymumqum--85mdg6gf8xft60xnxosyekarfr5yk0-svc.css	(from https://transparency-initiative.org/tax/)
13:02:56	1354/1354	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Jun%202018%2004:32:13%20GMT	https://www.transparency-initiative.org/tax/sites/default/files/css/css_UWmYbkb6t65LCol6_bHvk0KDkWJgokyYdWBZWs9ywuc.css	css/css_uwmybkb6t65lcol6_bhvk0kdkwjgokyydwbzws9ywuc.css	(from https://transparency-initiative.org/tax/)
13:02:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Dec%202021%2019:02:57%20GMT	http://cdn.jsdelivr.net/bootstrap/3.3.7/css/bootstrap.min.css	delayed/bootstrap.min.6.delayed	(from https://transparency-initiative.org/tax/)
13:02:59	121200/121200	---M-Z	200	added ('OK')	text/css	etag:W/%221d970-ZSfYvz4ek2i6uMe2D1a8Afo6/Wg%22	https://cdn.jsdelivr.net/bootstrap/3.3.7/css/bootstrap.min.css	css/bootstrap.min.css	(from https://transparency-initiative.org/tax/)
